incidentid,age,age category ,gender,race,schoolaffiliation,shooteroutcome,shooterdied,injury,chargesfiled,verdict,minorchargedadult,criminalhistory
19700828TXRIE,15,Teen,Male,Unknown,Student,Fled/Apprehended,No,None,,,,
19700828TXRIE,16,Teen,Male,Unknown,Student,Fled/Apprehended,No,None,,,,
19700831FLALM,27,Adult,Male,Black,No Relation,Apprehended/Killed by LE,No,None,First degree murder,,,
19700914TNHAN,18,Adult,Male,Black,Student,Fled/Apprehended,No,None,,,,
19700924IDMEM,,Unknown,,Unknown,Unknown,Unknown,No,None,,,,
19700928IACED,17,Teen,Male,Unknown,Student,Fled/Apprehended,No,None,,,,
19701005MIPOD,Teen,Adult,Male,Unknown,Student,Fled/Escaped,No,None,,,,
19701019TNBOM,17,Teen,Male,Unknown,Student,Fled/Apprehended,No,None,,,,
19701020TNWAN,13,Minor,Male,Unknown,Student,Unknown,No,None,,,,
19701027OHAPM,13,Minor,Male,Unknown,Student,Fled/Apprehended,No,None,,,,
19701120ILHAC,15,Teen,Male,Unknown,Student,Fled/Apprehended,No,None,Aggravated battery,,,
19701212WIXAA,Adult,Adult,,Unknown,Police Officer/SRO,Law Enforcement,No,None,N/A,N/A,N/A,
19710202PAMOP,14,Minor,Male,Black,Student,Fled/Apprehended,No,None,Murder,,Yes,
19710205PAJOW,14,Minor,Male,Unknown,Student,Unknown,No,None,"Atrocious assault and battery, unlawful use of a pistol, possession of a knife",,No,
19710210TXOAD,17,Teen,Male,Unknown,Student,Unknown,No,None,Four teens charged with assault-to-murder charges,,,
19710225OHFRC,Teen,Adult,Male,Unknown,Student,Fled/Apprehended,No,None,,,,
19710309AZROT,13,Minor,Male,Unknown,Student,Unknown,No,None,,,No,
19710405PAWIH,17,Teen,Male,Unknown,Student,Unknown,No,None,,Declared a delinquent and committed for an indeterminate term,No,
19710527MIBES,17,Teen,Male,Unknown,Student,Unknown,No,None,assault with intent to do great bodily harm,"Plead to assault and battery, served 7 days +time served",No,
19710602NYEAE,13,Minor,Male,Unknown,Student,Suicide,Yes,Suicide,N/A,,N/A,
19710820PAMOM,72,Adult,Male,White,Security Guard,Surrendered,No,None,"Aggravated assault and battery, discharging a firearm in the city limits",,N/A,
19710909TXDUL,15,Teen,Male,White,Student,Fled/Apprehended,No,None,,,,
19710924NYMCB,Teen,Adult,,Unknown,Student,Unknown,No,None,,,,
19710928MNCEM,18,Adult,Male,Unknown,No Relation,Fled/Apprehended,No,None,,,,
19710929VAPEP,14,Minor,Male,Black,Student,Subdued by Students/Staff/Other,No,None,,,,
19711028MDCIB,,Unknown,Male,Unknown,Student,Fled/Escaped,No,None,,,,
19711029MDFOB,17,Teen,Male,Unknown,Former Student,Fled/Escaped,No,None,,,,
19711029MDFRB,Teen,Adult,Male,Unknown,Student,Fled/Escaped,No,None,,,,
19711029MDFRB,Teen,Adult,Male,Unknown,Student,Fled/Escaped,No,None,,,,
19711103NMCAC,22,Adult,Male,Unknown,Former Student,Suicide,Yes,Suicide,N/A,,N/A,
19711108OKGRT,63,Adult,Male,Unknown,Other Staff,Unknown,No,None,Murder,,N/A,
19711124MDEDB,17,Teen,Male,Unknown,Student,Fled/Apprehended,No,None,Y,Manslaughter,No,
19711206CALOL,14,Minor,Male,Hispanic,Student,Fled/Apprehended,No,None,,,,
19711206CALOL,14,Minor,Male,Hispanic,Student,Fled/Apprehended,No,None,,,,
19711213MDCAB,17,Teen,Male,Unknown,Student,Fled/Apprehended,No,None,,,,
19720105DCPAW,61,Adult,Male,Unknown,Teacher,Subdued by Students/Staff/Other,No,None,,,,
19720124OHSTS,16,Teen,Male,White,Student,Surrendered,No,None,,,,
19720126MDGWB,Teen,Adult,Male,Unknown,Student,Unknown,No,None,,,,
19720126MDHAB,17,Teen,Male,Unknown,Student,Fled/Apprehended,No,None,,,,
19720214ILCAC,,Unknown,Male,Unknown,Student,Fled/Escaped,No,None,,,,
19720215ILKEC,21,Adult,Male,Unknown,Nonstudent,Apprehended/Killed by LE,Yes,Fatal,N/A,N/A,N/A,
19720228CAMAL,14,Minor,Male,Unknown,Student,Unknown,No,None,Suspicion of Assault,,,
19720313TXUNH,15,Teen,Male,Unknown,Student,Surrendered,No,None,,,,
19720412LAEAG,28,Adult,Male,Unknown,Teacher,Suicide,Yes,Suicide,N/A,,N/A,
19720504NVLIR,53,Adult,Male,White,Teacher,Fled/Escaped,No,None,,,,
19720505INDEI,16,Teen,Female,White,Student,Surrendered,No,None,,Insanity,N/A,
19720914TXFRH,16,Teen,Male,Unknown,Student,Fled/Apprehended,No,None,,,,
19720915MISAS,17,Teen,Male,Unknown,Student,Fled/Apprehended,No,None,,,,
19720919TXCUH,33,Adult,Male,Unknown,Teacher,Fled/Apprehended,No,None,Assult with intent to murder,,N/A,
19720921OHTHA,18,Adult,Male,Unknown,Former Student,Fled/Apprehended,No,None,"Attempted armed robbery, assault with deadly weapon",,,
19721111CAJEL,Teen,Adult,Male,Unknown,Other Student,Fled/Apprehended,No,None,,,,
19721111CAJEL,Teen,Adult,Male,Unknown,Other Student,Fled/Apprehended,No,None,,,,
19721127MIPOP,16,Teen,Male,Black,Student,Fled/Apprehended,No,None,,,,
19721129FLMIM,Teen,Adult,Male,Unknown,Unknown,Fled/Escaped,No,None,,,,
19730105NCSOS,Teen,Adult,Male,Black,Student,Fled/Apprehended,No,None,,,,
19730118CAJOL,19,Adult,Male,Unknown,Unknown,Fled/Apprehended,No,None,Attemted murder,,N/A,
19730118CAJOL,18,Adult,Male,Unknown,Unknown,Fled/Apprehended,No,None,Attemted murder,,N/A,
19730131NCCUB,17,Teen,Male,Unknown,Student,Fled/Apprehended,No,None,,,,
19730212ALBOM,19,Adult,Male,Unknown,No Relation,Fled/Apprehended,No,None,"Intent to murder, possession of weapon by felon",,N/A,Ex-felon
19730226VAARR,18,Adult,Male,Black,Student,Fled/Apprehended,No,None,Murder,20 years for Dance,,
19730405CALOL,,Unknown,Male,Unknown,Student,Fled/Escaped,No,None,,,,
19730501OHRAY,15,Teen,Male,Unknown,Student,Fled/Apprehended,No,None,,,,
19730928CAWIL,16,Teen,Male,Unknown,Student,Apprehended/Killed by SRO,No,Wounded,,,,
19731002ILELA,17,Teen,Male,Unknown,Student,Suicide,Yes,Suicide,,,,
19731019MOBES,14,Minor,Male,Unknown,Student,Fled/Apprehended,No,None,,,,
19731023MOSUS,14,Minor,Male,Unknown,Unknown,Fled/Apprehended,No,None,Assault with intent to kill,,,
19731023MOSUS,Teen,Adult,Male,Unknown,Unknown,Fled/Apprehended,No,None,Assault with intent to kill,,,
19731023OHBAB,17,Teen,Male,White,Student,Fled/Apprehended,No,None,,,,
19731024MNCEM,17,Teen,Male,Unknown,Student,Fled/Apprehended,No,None,,,Yes,
19731031MONOS,18,Adult,Male,Unknown,No Relation,Fled/Apprehended,No,None,,,,
19731108ILWOC,16,Teen,Male,Unknown,Student,Fled/Apprehended,No,None,,,,
19731109CALOL,Teen,Adult,Male,Unknown,Unknown,Fled/Apprehended,No,None,,,,
19731206CAFRL,,Unknown,,Unknown,Student,Fled/Apprehended,No,None,,,,
19731213OHHUC,16,Teen,Male,Unknown,Student,Fled/Apprehended,No,None,,,,Robbery
19740117ILBAC,14,Minor,Male,Unknown,Former Student,Subdued by Students/Staff/Other,No,None,Murder,,,
19740122CALOL,15,Teen,Male,Unknown,No Relation,Fled/Apprehended,No,None,Murder,,Yes,
19740207CAJAO,24,Adult,Male,Black,No Relation,Fled/Apprehended,No,None,,,,
19740322INBRB,17,Teen,Male,White,Student,Surrendered,No,None,Murder,,,
19740402CTSTB,,Unknown,,Unknown,Unknown,Fled/Escaped,No,None,,,,
19740510TNCHR,20,Adult,Male,Unknown,Student,Surrendered,No,None,,,,
19740519FLHIO,35,Adult,Male,Unknown,Intimate Relationship,Fled/Apprehended,No,None,Unknown charge,,N/A,
19740923CAJED,Teen,Adult,Male,Unknown,Student,Fled/Apprehended,No,None,Three charged with attempted murder,,,
19740923CAJED,Teen,Adult,Male,Unknown,Student,Fled/Apprehended,No,None,Three charged with attempted murder,,,
19740923CAJED,Teen,Adult,Male,Unknown,Student,Fled/Apprehended,No,None,Three charged with attempted murder,,,
19740925CASAL,17,Teen,Male,Unknown,Student,Fled/Apprehended,No,None,,,,
19741007LADEH,17,Teen,Male,Black,Student,Apprehended/Killed by LE,No,None,,,,
19741021MDDOB,15,Teen,Male,Unknown,No Relation,Fled/Apprehended,No,None,,,,
19741118SCCAC,,Unknown,Male,Unknown,No Relation,Fled/Escaped,No,None,,,,
19741121ARBOL,15,Teen,Male,Unknown,Student,Surrendered,No,None,,,,
19741125SCCAC,Teen,Adult,Male,Unknown,Student,Fled/Escaped,No,None,,,,
19741125SCCAC,Teen,Adult,Male,Unknown,Student,Fled/Escaped,No,None,,,,
19741218CAMAL,17,Teen,Male,Unknown,No Relation,Fled/Escaped,No,None,,,,
19741230NYOLO,17,Teen,Male,White,Student,Apprehended/Killed by LE,No,None,,,,No
19750207NYBOM,16,Teen,Male,Unknown,Student,Attempted Suicide,No,Wounded,,,,
19750224NJSTP,24,Adult,Male,Unknown,Former Student,Fled/Apprehended,No,None,Murder,Insanity,N/A,null
19750312TXJOH,Teen,Adult,,Unknown,Student,Fled/Escaped,No,None,,,,
19750318MOSUS,19,Adult,Male,Unknown,Unknown,Fled/Apprehended,No,None,Murder,,N/A,
19750321OHPAD,15,Teen,Male,Unknown,No Relation,Fled/Escaped,No,None,,,,
19750321VAFAR,18,Adult,Male,Unknown,No Relation,Other,No,None,Felonious Assault,,No,
19750515MOROS,13,Minor,Male,Unknown,Student,Fled/Apprehended,No,None,,,,
19750527MIPID,9,Minor,Male,Unknown,Student,Fled/Apprehended,No,None,,,No,
19750709ILDEC,Adult,Adult,Male,Black,Intimate Relationship,Fled/Apprehended,No,None,,,,
19750711MOCES,18,Adult,Male,Unknown,Student,Fled/Apprehended,No,None,,,,
19750911OKGRO,15,Teen,Male,White,Student,Unknown,No,None,First Degree Murder,,No,
19751001NMHEA,35,Adult,Male,Unknown,Unknown,Surrendered,No,None,,,,
19751024GAMUA,15,Teen,Male,Unknown,Student,Fled/Apprehended,No,None,,,,
19751218CAORS,16,Teen,Male,Unknown,Student,Fled/Escaped,No,None,,,,
19760101AZCAP,,Unknown,,Unknown,Unknown,Fled/Escaped,No,None,,,,
19760123OHCOC,17,Teen,Male,Unknown,Student,Fled/Apprehended,No,None,Aggravated murder; felony assault,,,
19760206FLESP,,Unknown,,Unknown,Unknown,Fled/Escaped,No,None,,,,
19760212MIMUD,Teen,Adult,Male,Unknown,Other Student,Fled/Escaped,No,None,,,,
19760212MIMUD,Teen,Adult,Male,Unknown,Other Student,Fled/Escaped,No,None,,,,
19760212MIMUD,Teen,Adult,Male,Unknown,Other Student,Fled/Escaped,No,None,,,,
19760212MIMUD,Teen,Adult,Male,Unknown,Other Student,Fled/Escaped,No,None,,,,
19760212MIMUD,Teen,Adult,Male,Unknown,Other Student,Fled/Escaped,No,None,,,,
19760212MIMUD,Teen,Adult,Male,Unknown,Other Student,Fled/Escaped,No,None,,,,
19760412TXODF,15,Teen,Male,Unknown,Student,Fled/Apprehended,No,None,,,,
19760513MOMAS,15,Teen,Male,Unknown,Student,Subdued by Students/Staff/Other,No,None,,,,
19760514FLPAW,17,Teen,Male,Unknown,Former Student,Apprehended/Killed by LE,No,None,,,,
19760602MDMTC,,Unknown,,Unknown,Unknown,Fled/Escaped,No,None,,,,
19760920NCGUG,38,Adult,Male,Unknown,No Relation,Suicide,Yes,Suicide,,,,
19761110MIBUD,46,Adult,Male,Unknown,Intimate Relationship,Fled/Apprehended,No,None,,,,
19761210MOFRS,11,Minor,Male,Unknown,Student,Surrendered,No,None,,,,
19770113ILOLB,15,Teen,Male,Unknown,Student,Subdued by Students/Staff/Other,No,None,,,,
19770209ILFEC,14,Minor,Male,Unknown,Student,Fled/Apprehended,No,None,"4 counts of murder, various other charges",,No,
19770228MOROS,19,Adult,Male,Unknown,Student,Unknown,No,None,,"Guilty, assuault with intent to kill, concealed weapon - 3 years",N/A,
19770228TXHOA,15,Teen,Male,Unknown,Student,Unknown,No,None,,Suspended from school for one year,No,
19770308ILCOE,16,Teen,Male,Unknown,Student,Fled/Apprehended,No,None,,,,
19770321NYPAH,18,Adult,Male,Unknown,Other Staff,Apprehended/Killed by LE,No,None,Felony reckless endangerment,,N/A,
19770407TXWHW,17,Teen,Male,Unknown,Student,Unknown,No,None,,,,
19770418TNPIN,46,Adult,Male,Unknown,Unknown,Fled/Apprehended,No,None,,,,
19770517FLSTC,22,Adult,Male,Unknown,No Relation,Fled/Apprehended,No,None,,,,
19770622ILHOC,Teen,Adult,,Unknown,Unknown,Fled/Escaped,No,None,,,,
19770711COSOC,15,Teen,,Unknown,Student,Fled/Escaped,No,None,,,,
19771129MOHAS,19,Adult,Male,Unknown,Former Student,Apprehended/Killed by LE,No,None,,,,
19771129MOVAS,18,Adult,Male,Unknown,Student,Unknown,No,None,Assault with intent to kill,,,
19771209CAPES,40,Adult,Male,Unknown,Intimate Relationship,Subdued by Students/Staff/Other,No,None,Murder,,N/A,
19771212FLWEW,41,Adult,Male,Unknown,Other Staff,Surrendered,No,None,,,,
19771215MABLC,,Unknown,Male,Unknown,Unknown,Fled/Escaped,No,None,,,,
19780111KYCHH,16,Teen,Male,Unknown,Student,Subdued by Students/Staff/Other,No,None,First degree assault,,No,
19780209WVHAS,15,Teen,Male,White,Student,Fled/Apprehended,No,None,charged him with an act of delinquency,"Guilty, served less than one year",No,
19780222MIEVL,15,Teen,Male,White,Student,Surrendered,No,None,,,,
19780309CAMOS,14,Minor,Male,Unknown,No Relation,Surrendered,No,None,"None, accidental",No,No,
19780329TNGAN,Adult,Adult,Male,Black,Other Staff,Surrendered,No,None,,,,
19780414MIFOD,16,Teen,Male,Unknown,Student,Unknown,No,None,,,,
19780426TXPAD,56,Adult,Female,Unknown,Relative,Surrendered,No,None,,,N/A,
19780428ILRIN,Teen,Adult,Male,Unknown,Student,Unknown,No,None,,,,
19780518TXMUA,13,Minor,Male,White,Student,Fled/Apprehended,No,None,Murder,,No,
19780519PADOP,,Unknown,,Unknown,Unknown,Fled/Escaped,No,None,,,,
19780607DEDOD,17,Teen,Male,Unknown,Student,Unknown,No,None,2nd degree murder,"Manslaughter, carrying a concealed deadly weapon",Yes,
19780610MAWEW,17,Teen,Male,Unknown,Student,Attempted Suicide,No,Wounded,,,,
19781017ALLAL,13,Minor,Male,White,Student,Fled/Apprehended,No,None,No criminal charges filed,None,No,
19781017MOUNU,Teen,Adult,Male,White,Former Student,Fled/Escaped,No,None,,,,
19781129NYPAN,15,Teen,Male,Unknown,Student,Fled/Apprehended,No,None,,,,
19781214CTWIN,17,Teen,Male,Unknown,No Relation,Apprehended/Killed by LE,No,None,Murder,,Yes,
19790129CAGRS,16,Teen,Female,White,No Relation,Apprehended/Killed by LE,No,None,,,,
19790314FLMCM,Teen,Adult,Male,Black,Unknown,Fled/Apprehended,No,None,,,Yes,
19790328CALOL,19,Adult,Male,Unknown,Unknown,Fled/Apprehended,No,None,,,,
19790416WIWIM,28,Adult,Male,Unknown,Other Staff,Surrendered,No,None,,,,
19790425PAMAH,,Unknown,,Unknown,Unknown,Unknown,No,None,,,,
19790426TXAZA,14,Minor,Male,Unknown,Student,Fled/Apprehended,No,None,,,,
19790614OHNEN,13,Minor,Male,Unknown,Unknown,Fled/Apprehended,No,None,,,,
19790926LACAN,13,Minor,Male,Unknown,Student,Surrendered,No,None,Attempted murder,,,
19790926LACAN,15,Teen,Male,Unknown,Student,Surrendered,No,None,Attempted murder,,,
19790928MACHC,Teen,Adult,Male,White,Unknown,Fled/Escaped,No,None,,,,
19790928MACHC,Teen,Adult,Male,White,Unknown,Fled/Escaped,No,None,,,,
19791023MOOFS,16,Teen,Male,Unknown,Student,Fled/Apprehended,No,None,2 counts first degree assault,,No,
19791105INWAI,18,Adult,Male,Unknown,Student,Fled/Apprehended,No,None,,,,
19791130TXUNL,14,Minor,Male,Unknown,Student,Surrendered,No,None,,,,
19791203MDEAB,Teen,Adult,Male,Unknown,Student,Fled/Escaped,No,None,,,,
19791203MDEAB,Teen,Adult,Male,Unknown,Student,Fled/Escaped,No,None,,,,
19791203MDEAB,Teen,Adult,Male,Unknown,Student,Fled/Escaped,No,None,,,,
19791203MDEAB,Teen,Adult,Male,Unknown,Student,Fled/Escaped,No,None,,,,
19791221MOBLS,14,Minor,Male,Unknown,Student,Fled/Apprehended,No,None,,,,
19800107ARSTS,16,Teen,Male,White,Student,Surrendered,No,None,,,,
19800129VALAW,17,Teen,Male,Unknown,Student,Attempted Suicide,No,Wounded,,,,
19800201DCLAW,9,Minor,Male,Unknown,Student,Surrendered,No,None,,,,
19800207TXVAL,9,Minor,Male,Unknown,Student,Surrendered,No,None,,,,
19800211INARI,17,Teen,Male,Unknown,Student,Fled/Apprehended,No,None,,,,
19800211INARI,19,Adult,Male,Unknown,Student,Fled/Apprehended,No,None,,,,
19800215MSHUM,32,Adult,Male,Unknown,Intimate Relationship,Fled/Apprehended,No,None,,,,
19800320TXJLD,30,Adult,Male,Unknown,Unknown,Fled/Apprehended,No,None,,,,
19800331MDFRB,16,Teen,Male,Black,Former Student,Fled/Apprehended,No,None,Assault with intent to murder,,No,
19800417VACAC,53,Adult,Male,Unknown,Intimate Relationship,Surrendered,No,None,,,,
19800530NYCLB,15,Teen,Male,Unknown,Student,Fled/Apprehended,No,Wounded,,,,
19800902CAWHL,18,Adult,Male,White,No Relation,Fled/Apprehended,No,None,,,,
19800908FLFOJ,Teen,Adult,Male,Unknown,Student,Fled/Apprehended,No,None,,,,
19800910DCSPW,18,Adult,Male,Unknown,Student,Surrendered,No,None,,,,
19800911ALJOM,29,Adult,Female,Unknown,Teacher,Surrendered,No,None,Murder,,N/A,
19800926CTBRB,19,Adult,Male,Unknown,Former Student,Fled/Escaped,No,None,,,N/A,
19801013ALCET,17,Teen,Male,Unknown,Student,Fled/Apprehended,No,None,,,,
19801031ALHUH,17,Teen,Male,Unknown,Student,Suicide,Yes,Suicide,N/A,,,
19801117TXEAF,16,Teen,Male,Unknown,Student,Subdued by Students/Staff/Other,No,None,,,,
19801212ALPAB,15,Teen,Male,Unknown,No Relation,Fled/Apprehended,No,None,,,,
19801212OHLOL,14,Minor,Male,Unknown,Student,Surrendered,No,None,,,,
19810121OHWIB,14,Minor,Male,White,Student,Fled/Apprehended,No,None,,,,
19810122MDFRB,17,Teen,Male,Unknown,Student,Fled/Apprehended,No,None,,,,
19810210ARLIL,16,Teen,Male,Unknown,Student,Fled/Apprehended,No,None,,,,
19810210CAMAL,19,Adult,Male,Unknown,Unknown,Fled/Apprehended,No,None,,,,
19810303INMAI,15,Teen,Male,Unknown,Student,Fled/Apprehended,No,None,Aggrevated assault,,No,
19810328FLDIF,18,Adult,Male,Unknown,Student,Fled/Apprehended,No,None,,,,
19810402OHALC,14,Minor,Male,Unknown,Student,Fled/Apprehended,No,None,,,,
19810407MSPOP,,Unknown,,Unknown,Unknown,Fled/Escaped,No,None,,,,
19810515LANEN,42,Adult,Male,Unknown,Other Staff,Surrendered,No,None,,,,
19810901PAWIP,,Unknown,Male,Unknown,Unknown,Fled/Escaped,No,None,,,,
19810904NMHOS,16,Teen,Male,Unknown,Student,Fled/Apprehended,No,None,,,,
19810908FLSTW,12,Minor,Male,Unknown,Student,Fled/Apprehended,No,Wounded,"Shot self by accident, unknown charges",,,
19810913MDABA,Adult,Adult,,Unknown,Police Officer/SRO,Law Enforcement,No,None,,,,
19811013CTHAH,16,Teen,Male,Unknown,Student,Fled/Apprehended,No,None,First degree assault,,,
19811209NYGEB,,Unknown,Male,Unknown,Unknown,Fled/Escaped,No,None,,,,
19811216TXUNH,17,Teen,Male,Unknown,Student,Fled/Apprehended,No,None,,,,
19811223NYJAB,Teen,Adult,Male,Unknown,Student,Fled/Escaped,No,None,,,,
19820205TNHAM,,Unknown,Male,Unknown,Unknown,Fled/Escaped,No,None,,,,
19820208MADOD,19,Adult,Male,Black,Student,Fled/Apprehended,No,None,,,,
19820209LAJON,16,Teen,Male,Unknown,Former Student,Fled/Apprehended,No,Wounded,,,,
19820209LAJON,15,Teen,Male,Unknown,Former Student,Fled/Apprehended,No,Wounded,,,,
19820315ORSPS,14,Minor,Male,Unknown,Student,Suicide,Yes,Suicide,,,,
19820317OHLOL,17,Teen,Male,Unknown,Student,Attempted Suicide,No,Wounded,,,,
19820319NVVAL,17,Teen,Male,Black,Student,Fled/Apprehended,No,None,"Lizotte was charged with murdering Piggott, a psychology teacher at Valley High School for 17 years. The suspect, a senior at the high school, also was charged with two counts of attempted murder in the shooting of junior Martin Jameson, 16, and senior Jo",,,
19820407CODEL,14,Minor,Male,White,Student,Unknown,No,None,,Was tried as an adult - pled to 12 years - served 6 in mental health treatment facility,Yes,
19820415MDFOB,Teen,Adult,Male,Unknown,Unknown,Fled/Apprehended,No,None,,,,
19820429GARUE,16,Teen,Male,White,Student,Surrendered,No,Wounded,,,,
19820430FLANA,19,Adult,Male,Unknown,Student,Fled/Apprehended,No,None,,,,
19820527NVGAL,Teen,Adult,Male,Unknown,Unknown,Fled/Escaped,No,None,,,,
19820527NVGAL,Teen,Adult,Male,Unknown,Unknown,Fled/Escaped,No,None,,,,
19820527NVGAL,Teen,Adult,Male,Unknown,Unknown,Fled/Escaped,No,None,,,,
19820910VALAB,18,Adult,Male,Unknown,Former Student,Surrendered,No,None,,,,
19820915ARSOP,12,Minor,Male,Unknown,Student,Attempted Suicide,No,Wounded,,,,
19821101NYELE,16,Teen,Male,Unknown,Student,Fled/Escaped,No,None,,,,
19821108MICOD,15,Teen,Male,Unknown,Student,Surrendered,No,None,,,,
19821112MSWIJ,20,Adult,Male,Unknown,Intimate Relationship,Suicide,Yes,Suicide,N/A,,N/A,
19821206ALHUH,17,Teen,Male,Unknown,Student,Suicide,Yes,Suicide,,,,
19821220MIFID,Adult,Adult,Male,Unknown,Unknown,Fled/Escaped,No,None,,,,
19830118TXJOH,21,Adult,Male,Unknown,Student,Suicide,Yes,Suicide,,,,
19830120MOPAB,14,Minor,Male,White,Student,Suicide,Yes,Suicide,N/A,,,
19830128MDWIB,14,Minor,Male,Unknown,Student,Surrendered,No,Wounded,,,,
19830130TXWEC,,Unknown,Male,Unknown,Unknown,Fled/Apprehended,No,None,,,,
19830131FLDED,16,Teen,Female,Unknown,Student,Attempted Suicide,No,Wounded,No charges filed,,No,
19830201TNRIM,16,Teen,Male,Unknown,Student,Surrendered,No,Wounded,,,,
19830202NMALA,,Unknown,Male,Unknown,Unknown,Fled/Escaped,No,None,No suspect to charge,No Suspect,No Suspect,
19830331ILSAC,11,Minor,Male,Unknown,Student,Surrendered,No,None,,,,
19830421MOBES,Adult,Adult,Male,Unknown,Unknown,Fled/Escaped,No,None,,,,
19830516NYBRN,24,Adult,Male,Unknown,Former Teacher,Suicide,Yes,Suicide,,,,
19830516TXLAD,41,Adult,Male,Unknown,No Relation,Fled/Apprehended,No,None,Murder,Death penalty,N/A,Served jail time for armed robbery
19830518FLNOM,22,Adult,Male,Black,No Relation,Fled/Apprehended,No,None,,,,
19830523OHMAM,15,Teen,Male,Unknown,Student,Fled/Apprehended,No,None,,,,
19830526PAGRJ,17,Teen,Male,Unknown,Student,Suicide,Yes,Suicide,N/A,,,
19830912CAMAC,Teen,Adult,Male,Unknown,Student,Fled/Apprehended,No,None,,,,
19830912CAMAC,Teen,Adult,Male,Unknown,Student,Fled/Apprehended,No,None,,,,
19830912MIHED,16,Teen,Male,Black,Student,Fled/Escaped,No,None,,,,
19830921MDWAB,18,Adult,Male,Unknown,Student,Surrendered,No,Wounded,,,,
19830930TXTET,20,Adult,Male,Unknown,Former Student,Fled/Apprehended,No,None,,,,
19831007CACOL,,Unknown,Male,Unknown,Gang Member,Fled/Escaped,No,None,,,,
19831022MDCAB,18,Adult,Male,Unknown,Unknown,Fled/Apprehended,No,None,Attempted murder,,N/A,
19831108MIHIH,15,Teen,Male,Unknown,Student,Surrendered,No,None,,,,
19831117ILJAC,14,Minor,Male,Unknown,Gang Member,Fled/Apprehended,No,None,,,,
19831118MDHAB,17,Teen,Male,Black,Student,Fled/Apprehended,No,None,,,,
19831202INCRC,17,Teen,Male,Unknown,Student,Fled/Apprehended,No,None,,,,
19831216ILBOR,15,Teen,Male,Unknown,Student,Fled/Apprehended,No,None,,,,
19840105MDLAB,,Unknown,Male,Unknown,Unknown,Fled/Escaped,No,None,,,,
19840206KYCEL,16,Teen,Male,Unknown,Student,Fled/Apprehended,No,None,,,,
19840221TXSHH,16,Teen,Male,Unknown,Student,Surrendered,No,None,,,,
19840224CA49L,28,Adult,Male,Black,Former Student,Suicide,Yes,Suicide,Killed,,,
19840405LACLC,17,Teen,Male,Black,Student,Unknown,No,None,Attempted murder,,,
19840420MIPRD,13,Minor,,Unknown,Student,Unknown,No,None,Reckless use of a firearm,,No,
19840426NCROW,11,Minor,Male,Unknown,Student,Attempted Suicide,No,Wounded,,,,
19840515MTCMG,18,Adult,Male,Unknown,Student,Attempted Suicide,No,Wounded,,,,
19840517IASOP,17,Teen,Male,Unknown,Student,Suicide,Yes,Suicide,N/A,,,
19840517TXBOH,18,Adult,Male,Unknown,Student,Suicide,Yes,Suicide,,,,
19840518CANON,17,Teen,Male,Unknown,Student,Subdued by Students/Staff/Other,No,None,,,,
19840522OHCLC,18,Adult,Male,Unknown,Student,Surrendered,No,None,,,,
19840710MIMUD,Adult,Adult,Male,Unknown,No Relation,Fled/Escaped,No,None,,,N/A,
19840831LABOS,,Unknown,Male,Unknown,Gang Member,Fled/Escaped,No,None,,,,
19840928TXMIH,,Unknown,,Unknown,Unknown,Fled/Escaped,No,None,,,,
