incidentid,race,injury,gender,schoolaffiliation,age,age category 
19790129CAGRS,N/A,Wounded,,Student,Child,Child
19790129CAGRS,N/A,Wounded,,Student,Child,Child
19790129CAGRS,N/A,Wounded,,Student,Child,Child
19790129CAGRS,N/A,Wounded,,Student,Child,Child
19790129CAGRS,N/A,Wounded,,Student,Child,Child
19790314FLMCM,N/A,Wounded,Male,Teacher,32,Adult
19790328CALOL,N/A,Wounded,Female,Teacher,39,Adult
19790416WIWIM,N/A,Wounded,Male,Former Student,17,Teen
19790425PAMAH,N/A,Wounded,Male,Teacher,34,Adult
19790426TXAZA,N/A,Fatal,Male,Student,13,Child
19790614OHNEN,N/A,Fatal,Male,,13,Child
19790926LACAN,N/A,Wounded,Male,Student,13,Child
19790926LACAN,N/A,Wounded,Male,Student,15,Teen
19790928MACHC,Black,Wounded,Male,Student,15,Teen
19791023MOOFS,N/A,Wounded,Male,Student,17,Teen
19791023MOOFS,N/A,Wounded,Male,Student,18,Adult
19791105INWAI,N/A,Wounded,Male,Student,14,Child
19791130TXUNL,N/A,Wounded,Female,Student,11,Child
19791203MDEAB,N/A,Wounded,Male,Student,17,Teen
19791203MDEAB,N/A,Wounded,Male,Student,Teen,Teen
19791203MDEAB,N/A,Wounded,Male,Student,Teen,Teen
19791221MOBLS,N/A,Wounded,Male,Student,16,Teen
19800107ARSTS,White,Fatal,Male,Student,19,Adult
19800129VALAW,N/A,None,Male,Student,17,Teen
19800201DCLAW,N/A,Wounded,Male,Student,9,Child
19800207TXVAL,N/A,Wounded,Male,Student,10,Child
19800211INARI,N/A,Wounded,Male,Student,15,Teen
19800215MSHUM,Black,Fatal,Female,Teacher,31,Adult
19800320TXJLD,N/A,Fatal,Female,Teacher,49,Adult
19800331MDFRB,Black,Wounded,Male,Student,16,Teen
19800417VACAC,N/A,Fatal,Male,Principal/Vice-Principal,33,Adult
19800417VACAC,N/A,Fatal,Female,Other Staff,32,Adult
19800530NYCLB,N/A,None,Male,Student,15,Teen
19800902CAWHL,N/A,Wounded,Male,Student,Teen,Teen
19800902CAWHL,N/A,Wounded,Male,Student,Teen,Teen
19800902CAWHL,N/A,Wounded,Male,Student,Teen,Teen
19800902CAWHL,N/A,Wounded,Male,Student,Teen,Teen
19800902CAWHL,N/A,Wounded,Male,Student,Teen,Teen
19800902CAWHL,N/A,Wounded,Male,Student,Teen,Teen
19800902CAWHL,N/A,Wounded,Male,Student,Teen,Teen
19800902CAWHL,N/A,Wounded,Male,Student,Teen,Teen
19800902CAWHL,N/A,Wounded,Male,Student,Teen,Teen
19800902CAWHL,N/A,Wounded,Male,Student,Teen,Teen
19800908FLFOJ,N/A,Wounded,Male,Teacher,35,Adult
19800910DCSPW,N/A,Fatal,Male,Student,16,Teen
19800911ALJOM,N/A,Fatal,Female,Teacher,44,Adult
19800926CTBRB,N/A,Wounded,Male,Student,17,Teen
19800926CTBRB,N/A,Wounded,Male,Student,15,Teen
19801013ALCET,N/A,Wounded,Male,Student,15,Teen
19801031ALHUH,N/A,Wounded,Male,Student,17,Teen
19801117TXEAF,Black,Wounded,Male,Student,17,Teen
19801212ALPAB,N/A,Wounded,Female,Student,14,Child
19801212OHLOL,N/A,Wounded,Male,Other Staff,48,Adult
19810121OHWIB,N/A,Wounded,Male,Teacher,Adult,Adult
19810122MDFRB,N/A,None,Male,Student,20,Adult
19810210ARLIL,N/A,Wounded,Male,Student,16,Teen
19810210CAMAL,N/A,Fatal,Male,Student,16,Teen
19810303INMAI,N/A,Wounded,Male,Student,16,Teen
19810328FLDIF,N/A,Fatal,Male,Student,19,Adult
19810402OHALC,N/A,Wounded,Male,Student,14,Child
19810407MSPOP,N/A,Wounded,Female,Student,Teen,Teen
19810515LANEN,N/A,Wounded,Female,Teacher,Adult,Adult
19810901PAWIP,N/A,Wounded,Male,Gang Member,Adult,Adult
19810901PAWIP,N/A,Wounded,Male,Gang Member,Adult,Adult
19810901PAWIP,N/A,Wounded,Male,Gang Member,Adult,Adult
19810904NMHOS,N/A,Wounded,Male,Student,15,Teen
19810904NMHOS,N/A,Wounded,Male,Student,17,Teen
19810908FLSTW,N/A,None,Male,Student,12,Child
19810913MDABA,N/A,Fatal,Male,Unknown,18,Adult
19811013CTHAH,N/A,Wounded,Male,Student,Teen,Teen
19811209NYGEB,N/A,Fatal,Male,Student,18,Adult
19811216TXUNH,N/A,Wounded,Male,Student,18,Adult
19811223NYJAB,N/A,Fatal,Male,Student,16,Teen
19820205TNHAM,N/A,Fatal,Male,Former Teacher,69,Adult
19820208MADOD,Black,Wounded,Female,Student,17,Teen
19820209LAJON,N/A,Fatal,Male,Student,,Unknown
19820315ORSPS,N/A,None,Male,Student,14,Child
19820317OHLOL,N/A,None,Male,Student,17,Teen
19820319NVVAL,N/A,Fatal,Male,Teacher,55,Adult
19820319NVVAL,N/A,Wounded,Male,Student,17,Teen
19820319NVVAL,N/A,Wounded,Male,Student,17,Teen
19820407CODEL,N/A,Fatal,Male,Student,13,Child
19820415MDFOB,N/A,Wounded,Male,Teacher,Adult,Adult
19820429GARUE,N/A,None,Unknown,Student,Teen,Teen
19820430FLANA,N/A,Wounded,Male,Student,Teen,Teen
19820527NVGAL,N/A,Wounded,Female,Student,13,Child
19820527NVGAL,N/A,Wounded,Female,Student,14,Child
19820910VALAB,N/A,None,Female,Student,Teen,Teen
19820915ARSOP,N/A,None,Male,Student,12,Child
19821101NYELE,N/A,Wounded,Male,Student,16,Teen
19821108MICOD,N/A,Wounded,Male,Student,16,Teen
19821108MICOD,N/A,Wounded,Male,Student,16,Teen
19821112MSWIJ,N/A,Fatal,Female,Student,17,Teen
19821206ALHUH,N/A,None,Male,Student,17,Teen
19821220MIFID,Black,Wounded,Male,Student,15,Teen
19830118TXJOH,N/A,Fatal,Female,Student,Adult,Adult
19830120MOPAB,N/A,Fatal,Male,Student,15,Teen
19830120MOPAB,N/A,Wounded,Male,Student,15,Teen
19830128MDWIB,N/A,None,Male,Student,Teen,Teen
19830130TXWEC,N/A,Fatal,Male,,16,Teen
19830131FLDED,N/A,None,Female,Student,Teen,Teen
19830201TNRIM,N/A,None,Male,Student,17,Teen
19830202NMALA,N/A,Wounded,Female,Student,16,Teen
19830331ILSAC,N/A,None,Female,Teacher,24,Adult
19830421MOBES,N/A,Wounded,Male,Student,Teen,Teen
19830516NYBRN,N/A,Wounded,Male,Teacher,47,Adult
19830516NYBRN,N/A,Wounded,Male,Student,15,Teen
19830516TXLAD,N/A,Fatal,Female,Other Staff,Adult,Adult
19830518FLNOM,N/A,Wounded,Male,Student,Teen,Teen
19830523OHMAM,Black,Wounded,Male,Student,17,Teen
19830526PAGRJ,N/A,None,Male,Student,17,Teen
19830912CAMAC,N/A,Wounded,Female,Student,Teen,Teen
19830912CAMAC,N/A,Wounded,Female,Student,Teen,Teen
19830912CAMAC,N/A,Wounded,Male,Student,Teen,Teen
19830912CAMAC,N/A,Wounded,Male,Student,Teen,Teen
19830912CAMAC,N/A,Wounded,Male,Student,Teen,Teen
19830912MIHED,N/A,Fatal,Male,Student,Teen,Teen
19830921MDWAB,N/A,None,Male,Student,Teen,Teen
19830930TXTET,N/A,Wounded,Male,Student,17,Teen
19830930TXTET,N/A,Wounded,Male,Student,17,Teen
19830930TXTET,N/A,Wounded,Male,Student,15,Teen
19831007CACOL,N/A,Wounded,Female,Student,16,Teen
19831022MDCAB,N/A,Fatal,Male,Unknown,18,Adult
19831108MIHIH,Black,Fatal,Male,Student,17,Teen
19831117ILJAC,N/A,Wounded,Male,Gang Member,17,Teen
19831117ILJAC,Hispanic,Fatal,Male,Gang Member,19,Adult
19831118MDHAB,N/A,Fatal,Male,Student,14,Child
19831202INCRC,N/A,Wounded,Male,Student,Teen,Teen
19831216ILBOR,N/A,Wounded,Female,Teacher,38,Adult
19840105MDLAB,N/A,Wounded,Male,Student,17,Teen
19840206KYCEL,N/A,Wounded,Male,Student,Teen,Teen
19840221TXSHH,N/A,Wounded,Male,Teacher,30,Adult
19840224CA49L,N/A,Wounded,Male,Other Staff,50,Adult
19840224CA49L,N/A,Wounded,Female,Student,10,Child
19840224CA49L,N/A,Wounded,Female,Student,8,Child
19840224CA49L,Hispanic,Fatal,Male,No Relation,24,Adult
19840224CA49L,N/A,Minor Injuries,Female,Student,10,Child
19840224CA49L,N/A,Wounded,Female,Student,10,Child
19840224CA49L,N/A,Minor Injuries,Male,Student,11,Child
19840224CA49L,N/A,Minor Injuries,Male,Student,12,Child
19840224CA49L,N/A,Wounded,Female,Student,11,Child
19840224CA49L,N/A,Minor Injuries,Male,Student,9,Child
19840224CA49L,N/A,Wounded,Female,Student,10,Child
19840224CA49L,N/A,Fatal,Female,Student,10,Child
19840224CA49L,N/A,Wounded,Male,Student,9,Child
19840224CA49L,N/A,Wounded,,Student,11,Child
19840405LACLC,N/A,Wounded,Male,Student,Teen,Teen
19840420MIPRD,N/A,Fatal,Male,Student,Teen,Teen
19840426NCROW,N/A,None,Male,Student,11,Child
19840515MTCMG,N/A,None,Male,Student,18,Adult
19840517IASOP,N/A,Fatal,Female,Student,Teen,Teen
19840517TXBOH,N/A,Wounded,Female,Student,17,Teen
19840518CANON,N/A,Wounded,,Student,Teen,Teen
19840518CANON,N/A,Wounded,,Student,Teen,Teen
19840518CANON,N/A,Wounded,,Student,Teen,Teen
19840518CANON,N/A,Wounded,,Student,Teen,Teen
19840518CANON,N/A,Wounded,,Student,Teen,Teen
19840518CANON,N/A,Wounded,,Student,Teen,Teen
19840518CANON,N/A,Wounded,,Student,Teen,Teen
19840518CANON,N/A,Wounded,,Student,Teen,Teen
19840518CANON,N/A,Wounded,,Student,Teen,Teen
19840518CANON,N/A,Wounded,,Student,Teen,Teen
19840518CANON,N/A,Wounded,,Student,Teen,Teen
19840518CANON,N/A,Wounded,,Student,Teen,Teen
19840522OHCLC,N/A,Wounded,Male,Student,16,Teen
19840710MIMUD,N/A,Wounded,Male,Student,Teen,Teen
19840831LABOS,N/A,Wounded,Male,Student,Teen,Teen
19840928TXMIH,N/A,Wounded,Male,Student,Child,Child
19840928TXRIN,N/A,Wounded,Male,Student,Teen,Teen
19841021PAWYE,N/A,Wounded,Female,Student,17,Teen
19841022MICED,N/A,Wounded,Male,Student,16,Teen
19841022MICED,N/A,Wounded,Female,Student,16,Teen
19841024MISOD,N/A,Wounded,Male,Student,15,Teen
19841024OHWEC,N/A,Fatal,Male,Bus Driver,54,Adult
19841030SCPEP,N/A,Wounded,Male,Teacher,38,Adult
19841030SCPEP,N/A,Wounded,Male,Teacher,Adult,Adult
19841031LAEAG,Black,Fatal,Male,Student,16,Teen
19841109CTWIN,N/A,Wounded,Male,Student,16,Teen
19841126MDMIR,N/A,Wounded,Male,Student,16,Teen
19841207MOEDS,N/A,None,,,,Unknown
19850118TXARA,White,None,Male,Student,17,Teen
19850121KSGOG,N/A,Wounded,Male,Student,14,Child
19850121KSGOG,N/A,Wounded,Female,Teacher,32,Adult
19850121KSGOG,N/A,Wounded,Male,Teacher,39,Adult
19850121KSGOG,N/A,Fatal,Male,Teacher,35,Adult
19850126MASTB,N/A,Wounded,,Student,Teen,Teen
19850126MASTB,N/A,Wounded,,Student,Teen,Teen
19850126MASTB,N/A,Wounded,,Student,Teen,Teen
19850126MASTB,N/A,Wounded,,Student,Teen,Teen
19850205CTAIH,N/A,Wounded,Male,Student,17,Teen
19850416TXMAA,N/A,None,Male,Student,17,Teen
19850516FLPAB,N/A,None,Female,Student,15,Teen
19850724TXHIH,N/A,Wounded,Male,Student,18,Adult
19850904VAEAR,N/A,Wounded,Female,Student,14,Child
19850909TXWHH,N/A,Wounded,Male,Teacher,34,Adult
19850920TXLAC,N/A,Wounded,Male,Principal/Vice-Principal,33,Adult
19850920TXLAC,N/A,Wounded,Male,Student,15,Teen
19850925OHTRT,N/A,Wounded,Male,Student,14,Child
19850925OHTRT,N/A,Wounded,Male,Student,13,Child
19851008MDLAB,N/A,Fatal,Male,Student,17,Teen
19851018MIMUD,N/A,Wounded,Male,Student,17,Teen
19851018MIMUD,N/A,Wounded,Female,Student,14,Child
